Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Ado Den Haag,Robert Zwinkels,0,0,2,0,0,7.90
Heracles Almelo,Oussama Tannane,1,0,0,12,26,7.67
Psv Eindhoven,Luuk de Jong,1,0,45,13,26,7.65
Ajax,Joël Veltman,10,1,177,115,114,7.56
Az Alkmaar,Vincent Janssen,7,0,14,4,28,7.51
Psv Eindhoven,Andrés Guardado,5,0,30,59,38,7.49
Vitesse,Guram Kashia,14,1,128,72,71,7.47
Heracles Almelo,Gino Bosz,1,0,17,7,4,7.47
Feyenoord,Dirk Kuyt,1,0,36,25,33,7.46
Ajax,Nemanja Gudelj,14,0,69,84,64,7.44
Psv Eindhoven,Davy Pröpper,13,0,45,56,55,7.41
Ajax,Diederik Boer,0,0,2,0,0,7.40
Fc Twente,Hakim Ziyech,1,0,9,25,63,7.38
Ado Den Haag,Edouard Duplan,1,0,16,23,27,7.38
Psv Eindhoven,Jürgen Locadia,2,0,31,14,19,7.36
Fc Utrecht,Sébastien Haller,3,0,33,17,20,7.31
Heerenveen,Sam Larsson,0,0,10,28,36,7.31
Groningen,Rasmus Lindgren,11,0,153,39,34,7.28
Ajax,Arkadiusz Milik,0,0,9,8,10,7.26
Ado Den Haag,Wilfried Kanon,10,0,72,25,44,7.25
Psv Eindhoven,Jetro Willems,1,0,29,24,23,7.25
Ajax,Davy Klaassen,5,1,20,27,43,7.25
Nec Nijmegen,Christian Santos,6,1,58,12,34,7.24
Psv Eindhoven,Marco van Ginkel,3,0,15,11,19,7.24
Vitesse,Maikel Van der Werff,18,1,126,60,49,7.23
Pec Zwolle,Bart Van Hintum,9,0,113,63,66,7.23
Psv Eindhoven,Santiago Arias,12,0,98,77,61,7.23
Az Alkmaar,Stijn Wuytens,14,1,131,98,90,7.22
Az Alkmaar,Jop Van der Linden,9,0,79,30,27,7.22
Willem Ii Tilburg,Bartholomew Ogbeche,4,1,18,6,14,7.22
Az Alkmaar,Alireza Jahanbakhsh,1,0,3,18,46,7.20
Heracles Almelo,Justin Hoogma,5,0,14,1,2,7.20
Az Alkmaar,Fernando Lewis,0,0,2,3,0,7.20
Sc Cambuur,Noureddine Boutzamar,0,0,0,1,1,7.20
Fc Utrecht,Ruud Boymans,0,0,6,3,6,7.19
Pec Zwolle,Lars Veldwijk,5,0,48,5,11,7.19
Pec Zwolle,Ouasim Bouy,11,0,77,42,54,7.18
Vitesse,Lewis Baker,4,0,24,26,23,7.17
Psv Eindhoven,Jeffrey Bruma,22,0,199,49,30,7.17
Fc Twente,Jerson Cabral,2,0,6,27,38,7.17
Feyenoord,Eric Botteghin,11,1,101,57,43,7.17
Vitesse,Marvelous Nakamba,9,0,29,48,125,7.17
Pec Zwolle,Dirk Marcellis,10,1,167,71,95,7.17
Feyenoord,Tonny Vilhena,2,0,22,30,43,7.17
Fc Utrecht,Timo Letschert,20,2,112,97,51,7.16
Ajax,Riechedly Bazoer,3,0,14,21,41,7.16
Feyenoord,Terence Kongolo,8,0,105,59,89,7.15
Az Alkmaar,Thomas Ouwejan,0,0,6,4,9,7.15
Feyenoord,Eljero Elia,0,0,12,15,64,7.15
Ajax,Jaïro Riedewald,10,0,54,57,36,7.14
Fc Twente,Kamohelo Mokotjo,4,0,33,86,52,7.14
Psv Eindhoven,Héctor Moreno,12,0,112,40,29,7.14
Ajax,Mike Van der Hoorn,6,0,60,14,13,7.14
Fc Twente,Stefan Thesker,5,0,17,15,17,7.14
Ajax,Mitchell Dijks,9,0,53,39,59,7.14
Willem Ii Tilburg,Lucas Andersen,0,0,14,37,42,7.13
Nec Nijmegen,Rens Van Eijden,20,1,144,72,49,7.13
Feyenoord,Marko Vejinović,7,0,26,46,41,7.12
Pec Zwolle,Stefan Nijland,1,0,3,9,19,7.12
Vitesse,Arnold Kruiswijk,7,0,96,44,39,7.12
Az Alkmaar,Ridgeciano Haps,5,2,86,93,67,7.11
Nec Nijmegen,Gregor Breinburg,6,0,27,56,101,7.11
Ajax,Amin Younes,0,0,1,18,29,7.11
Willem Ii Tilburg,Rochdi Achenteh,1,1,34,52,36,7.11
Fc Utrecht,Nacer Barazite,1,0,6,16,15,7.10
Nec Nijmegen,Hannes Þór Halldórsson,0,1,8,1,0,7.10
Nec Nijmegen,Brad Jones,0,2,28,1,0,7.10
Excelsior,Danilho Doekhi,2,0,3,0,0,7.10
Ajax,Kenny Tete,7,0,29,64,62,7.10
Willem Ii Tilburg,Jordens Peters,22,0,237,81,43,7.09
Ajax,Nick Viergever,12,0,64,38,22,7.09
Feyenoord,Bart Nieuwkoop,1,0,26,17,9,7.08
Az Alkmaar,Markus Henriksen,0,0,30,21,46,7.07
Heracles Almelo,Iliass Bel Hassani,2,0,11,42,54,7.07
De Graafschap,Karim Tarfi,3,0,36,22,41,7.07
Fc Utrecht,Sean Klaiber,6,1,28,55,45,7.07
Feyenoord,Rick Karsdorp,3,1,29,52,55,7.07
Nec Nijmegen,Anthony Limbombe,2,0,13,17,15,7.06
Roda Jc Kerkrade,Hicham Faik,2,0,33,45,46,7.06
Az Alkmaar,Jeffrey Gouweleeuw,17,0,96,33,21,7.06
Vitesse,Kelvin Leerdam,12,0,60,30,31,7.05
Excelsior,Jurgen Matheij,18,1,191,73,31,7.05
Feyenoord,Sven van Beek,11,2,118,68,44,7.05
Feyenoord,Michiel Kramer,3,0,7,0,5,7.05
Pec Zwolle,Ryan Thomas,2,0,4,13,13,7.05
Heracles Almelo,Mike te Wierik,17,0,274,77,60,7.05
Excelsior,Tom Van Weert,2,0,18,7,25,7.05
Willem Ii Tilburg,Funso Ojo,11,0,79,67,79,7.05
Heracles Almelo,Wout Droste,13,1,114,70,84,7.04
Excelsior,Adil Auassar,12,2,80,56,64,7.04
Groningen,Johan Kappelhof,9,1,93,57,36,7.04
Ado Den Haag,Mike Havenaar,4,0,26,4,12,7.04
Roda Jc Kerkrade,Rydell Poepon,1,0,27,7,17,7.04
Fc Twente,Felipe Gutiérrez,12,0,35,82,71,7.03
Feyenoord,Simon Gustafsson,1,0,5,9,7,7.03
De Graafschap,Ted Van de Pavert,20,0,212,56,53,7.03
Heracles Almelo,Robin Gosens,4,0,58,58,80,7.03
Heerenveen,Jeremiah St. Juste,10,1,102,78,85,7.03
Fc Utrecht,Yassin Ayoub,3,2,21,28,52,7.02
Heracles Almelo,Thomas Bruns,3,2,58,38,71,7.02
Heracles Almelo,Mark Jan Fledderus,10,1,81,100,82,7.02
Vitesse,Kevin Diks,10,0,76,62,87,7.02
Heracles Almelo,Ramon Zomer,20,0,220,56,48,7.02
Vitesse,Sheran Yeini,8,0,46,44,68,7.02
Ado Den Haag,Timothy Derijck,12,0,72,85,53,7.01
Pec Zwolle,Bram Van Polen,14,1,95,81,69,7.01
Fc Utrecht,Christian Kum,6,0,51,73,34,7.01
Psv Eindhoven,Luciano Narsingh,1,0,5,7,18,7.01
Psv Eindhoven,Gastón Pereiro,0,0,13,9,21,7.00
Willem Ii Tilburg,Frenkie de Jong,0,0,0,1,0,7.00
Feyenoord,Anass Achahbar,0,0,2,3,5,7.00
Ado Den Haag,Tom Beugelsdijk,26,0,149,49,40,7.00
Ajax,Sam Hendriks,0,0,1,0,0,7.00
Excelsior,Tom Overtoom,0,0,0,1,0,7.00
Sc Cambuur,Jack Byrne,2,0,7,21,9,7.00
Nec Nijmegen,Lucas Woudenberg,10,0,54,64,100,7.00
Ajax,Viktor Fischer,0,0,4,7,9,7.00
Ajax,Lasse Schöne,1,0,8,13,13,7.00
