Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Parma,Pierluigi Frattali,0,6,0,0,7,7.70
Roma,Antonio Mirante,3,19,1,6,32,7.22
Chievoverona,Adrian Šemper,0,12,0,2,25,7.20
Sampdoria,Rafael,0,0,0,2,2,7.15
Empoli,Bartłomiej Drągowski,7,47,1,3,78,7.12
Spal,Vanja Milinković-Savić,0,9,0,0,12,7.05
Cagliari,Alessio Cragno,8,107,2,7,155,7.04
Milan,Gianluigi Donnarumma,6,61,1,11,101,7.04
Fiorentina,Pietro Terracciano,2,23,0,2,34,7.04
Udinese,Juan Musso,2,63,0,7,107,6.98
Torino,Salvatore Sirigu,8,67,2,14,101,6.98
Napoli,Orestis Karnezis,1,14,0,4,20,6.97
Parma,Luigi Sepe,1,90,0,10,142,6.96
Juventus,Wojciech Szczęsny,6,36,1,11,63,6.96
Inter,Samir Handanovič,8,62,0,17,98,6.95
Lazio,Thomas Strakosha,8,57,1,10,96,6.92
Frosinone,Marco Sportiello,4,88,0,8,141,6.91
Napoli,Alex Meret,3,25,0,5,39,6.85
Juventus,Mattia Perin,0,11,0,5,20,6.84
Torino,Salvador Ichazo,1,5,0,1,8,6.83
Spal,Emiliano Viviano,3,34,0,3,59,6.82
Fiorentina,Alban Lafont,8,46,1,8,93,6.81
Milan,Pepe Reina,2,4,0,1,9,6.80
Bologna,Łukasz Skorupski,8,68,0,10,119,6.79
Sampdoria,Emil Audero,20,59,1,11,96,6.76
Sassuolo,Andrea Consigli,11,73,3,12,103,6.76
Napoli,David Ospina,4,24,0,5,42,6.76
Udinese,Simone Scuffet,1,17,0,2,26,6.76
Genoa,Andrei Radu,3,64,1,6,107,6.75
Atalanta,Pierluigi Gollini,10,31,0,4,49,6.75
Chievoverona,Stefano Sorrentino,1,68,2,5,110,6.71
Roma,Robin Olsen,8,48,0,4,86,6.70
Spal,Alfred Gomis,2,27,0,5,49,6.69
Empoli,Ivan Provedel,3,41,0,0,69,6.67
Lazio,Silvio Proto,1,6,0,0,9,6.65
Atalanta,Etrit Berisha,2,28,0,5,43,6.62
Sassuolo,Gianluca Pegolo,0,5,0,0,9,6.53
Frosinone,Francesco Bardi,0,2,0,1,7,6.47
Genoa,Jandrei,0,2,0,0,2,6.40
Genoa,Federico Marchetti,2,5,0,1,9,6.18
Juventus,Carlo Pinsoglio,0,0,0,0,1,6.00
Lazio,Guido Guerrieri,1,1,0,0,1,5.80
Chievoverona,Andrea Seculin,0,3,0,0,5,5.70
Atalanta,Francesco Rossi,0,0,0,0,0,0.00
Spal,Giacomo Poluzzi,0,0,0,0,0,0.00
