Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Fiorentina,Luca Lezzerini,40,0,0,0,0,7.00
Atalanta,Rafael Tolói,82,0,90,16,0,7.00
Chievoverona,Nicolas Frey,74,0,18,2,0,6.99
Torino,Leandro Castán,84,0,38,3,0,6.99
Lazio,Wesley Hoedt,87,0,31,6,2,6.99
Inter,Éder,84,4,29,17,8,6.99
Atalanta,Andrea Conti,78,5,66,16,8,6.99
Crotone,Federico Ceccherini,73,0,58,9,1,6.99
Napoli,Allan,87,6,70,39,1,6.99
Milan,Manuel Locatelli,82,0,50,17,2,6.98
Empoli,Łukasz Skorupski,57,0,0,0,0,6.98
Cagliari,João Pedro,67,3,25,24,7,6.98
Genoa,Miguel Veloso,84,4,41,9,0,6.98
Udinese,Sven Kums,88,1,76,14,0,6.98
Atalanta,Pierluigi Gollini,62,0,0,0,0,6.98
Chievoverona,Dario Dainelli,84,0,35,11,0,6.97
Juventus,Andrea Barzagli,91,0,18,3,0,6.97
Palermo,Alessandro Diamanti,76,5,35,28,1,6.97
Udinese,Felipe,84,1,55,5,1,6.97
Chievoverona,Ivan Radovanović,84,0,66,10,0,6.97
Palermo,Ivajlo Čočev,81,3,55,18,3,6.97
Cagliari,Rafael,52,0,0,1,0,6.97
Lazio,Ştefan Radu,85,1,39,26,2,6.97
Lazio,Sergej Milinković-Savić,73,7,71,44,4,6.96
Fiorentina,Gonzalo Rodríguez,87,0,45,7,1,6.96
Juventus,Neto,86,0,0,0,0,6.96
Torino,Mirko Valdifiori,82,1,53,13,0,6.96
Chievoverona,Fabio Depaoli,77,1,17,2,0,6.96
Chievoverona,Alessandro Gamberini,81,0,14,1,1,6.96
Napoli,Faouzi Ghoulam,87,6,28,19,0,6.96
Crotone,Alex Cordaz,35,0,2,1,0,6.96
Empoli,Andrea Costa,81,1,18,6,2,6.96
Atalanta,Jasmin Kurtić,82,3,42,27,6,6.96
Palermo,Thiago Cionek,79,0,64,7,0,6.96
Fiorentina,Khouma Babacar,81,1,7,6,10,6.95
Inter,Jeison Murillo,87,0,61,5,0,6.95
Milan,Keisuke Honda,81,0,0,4,1,6.95
Empoli,Uroš Ćosić,79,0,12,4,0,6.95
Fiorentina,Ianis Hagi,100,0,1,0,0,6.95
Atalanta,Ervin Zukanović,85,0,25,4,0,6.95
Milan,Gianluca Lapadula,81,3,17,5,8,6.95
Roma,Stephan El Shaarawy,80,4,15,36,8,6.95
Sampdoria,Fabio Quagliarella,67,4,15,15,12,6.94
Pescara,Jean-Christophe Bahebeck,73,1,12,17,4,6.94
Torino,Luca Rossettini,82,0,56,2,1,6.94
Milan,Davide Calabria,80,1,39,10,0,6.93
Crotone,Diego Falcinelli,70,3,29,34,13,6.93
Empoli,Giuseppe Bellusci,82,0,49,9,1,6.93
Udinese,Jakub Jankto,80,4,32,12,5,6.93
Inter,Danilo D'Ambrosio,82,3,76,27,3,6.93
Juventus,Claudio Marchisio,88,2,19,5,1,6.93
Chievoverona,Valter Birsa,81,9,42,30,7,6.93
Bologna,Domenico Maietta,84,1,62,7,0,6.92
Roma,Antonio Rüdiger,83,2,45,16,0,6.92
Sassuolo,Antonino Ragusa,71,2,29,24,4,6.92
Cagliari,Marco Borriello,75,1,17,20,16,6.92
Juventus,Mario Lemina,90,1,24,17,1,6.92
Udinese,Danilo,77,1,40,1,2,6.92
Sassuolo,Paolo Cannavaro,79,0,24,4,1,6.92
Roma,Juan Jesus,82,0,33,2,0,6.92
Milan,Matías Fernández,91,2,17,11,1,6.92
Cagliari,Diego Farias,83,2,10,22,7,6.91
Atalanta,Boukary Dramé,83,0,22,5,0,6.91
Napoli,Amadou Diawara,90,0,26,7,0,6.91
Bologna,Saphir Taïder,90,0,54,18,3,6.90
Sassuolo,Alberto Aquilani,82,1,38,5,1,6.90
Atalanta,Leonardo Spinazzola,80,5,28,61,0,6.90
Juventus,Tomás Rincón,85,3,40,27,0,6.90
Cagliari,Bruno Alves,80,0,23,3,1,6.90
Palermo,Ilija Nestorovski,70,3,25,13,11,6.90
Inter,Samir Handanovič,71,0,2,1,0,6.90
Sampdoria,Patrik Schick,75,3,10,28,11,6.90
Inter,Andrea Pinamonti,67,0,1,0,0,6.90
Milan,Gustavo Gómez,87,0,24,2,0,6.90
Crotone,Eddy Gnahoré,72,0,0,0,0,6.90
Sassuolo,Luca Antei,78,0,38,10,1,6.90
Lazio,Giorgio Spizzichino,57,0,2,0,0,6.90
Bologna,Archimede Morleo,92,0,1,0,0,6.90
Torino,Giuseppe Vives,83,0,12,1,0,6.90
Crotone,Gianmarco Ferrari,70,1,63,3,3,6.90
Udinese,Rodrigo De Paul,79,1,51,56,4,6.90
Fiorentina,Carlos Sánchez,88,1,59,14,1,6.89
Sassuolo,Andrea Consigli,55,0,0,1,0,6.89
Chievoverona,Riccardo Meggiorini,63,0,23,13,3,6.89
Crotone,Andrea Nalini,66,2,24,9,2,6.89
Genoa,Nicolás Burdisso,80,0,32,3,0,6.89
Bologna,Antonio Mirante,65,0,1,1,0,6.89
Empoli,Rade Krunić,76,1,78,45,2,6.88
Milan,Luca Antonelli,76,0,13,2,0,6.88
Palermo,Siniša Anđelković,87,1,24,1,0,6.88
Sampdoria,Matías Silvestre,88,3,24,6,0,6.88
Udinese,Lucas Evangelista,82,1,8,8,0,6.88
Pescara,Robert Murić,78,0,3,5,1,6.88
Cagliari,Federico Melchiorri,49,0,6,7,3,6.88
Fiorentina,Mauro Zárate,85,1,4,10,2,6.88
Sampdoria,Angelo Palombo,88,0,1,1,0,6.88
Napoli,Elseid Hysaj,86,1,74,39,0,6.87
Cagliari,Bartosz Salamon,82,0,9,3,0,6.87
Bologna,Ladislav Krejčí,83,8,36,30,1,6.87
Crotone,Marcello Trotta,71,5,32,16,3,6.87
Roma,Bruno Peres,85,2,35,52,2,6.87
Sassuolo,Lorenzo Pellegrini,75,6,41,22,6,6.87
Crotone,Marco Festa,39,0,0,0,0,6.87
Atalanta,Alessandro Bastoni,77,0,4,0,0,6.87
Palermo,Alessandro Gazzi,88,0,39,14,0,6.86
Bologna,Mattia Destro,72,0,20,18,11,6.86
Napoli,Pepe Reina,77,0,0,1,0,6.85
Sampdoria,Emiliano Viviano,55,0,1,1,0,6.85
Fiorentina,Cristian Tello,83,4,35,50,4,6.85
Chievoverona,Nicolás Spolli,85,0,23,4,0,6.85
Napoli,Arkadiusz Milik,81,0,3,3,5,6.85
Juventus,Gianluigi Buffon,78,0,0,0,0,6.85
Udinese,Gabriele Angella,78,0,18,0,1,6.84
Atalanta,Etrit Berisha,55,0,0,0,0,6.84
Chievoverona,Roberto Inglese,70,4,22,17,10,6.84
Roma,Clément Grenier,81,1,0,1,0,6.84
Pescara,Hugo Campagnaro,83,0,31,12,2,6.84
Palermo,Giancarlo González,79,0,21,2,1,6.84
Inter,Gabriel Barbosa,86,0,2,6,1,6.84
Empoli,Vincent Laurini,78,0,39,27,0,6.84
Sampdoria,Édgar Barreto,81,0,90,5,2,6.84
Udinese,Duván Zapata,70,3,10,38,10,6.84
Bologna,Filip Helander,83,0,16,0,1,6.84
Torino,Davide Zappacosta,83,5,43,17,1,6.83
Chievoverona,Fabrizio Cacciatore,79,2,43,9,1,6.83
Milan,Carlos Bacca,76,3,8,17,13,6.83
Udinese,Molla Wagué,82,0,19,0,0,6.83
Bologna,Daniele Gastaldello,86,1,42,3,0,6.83
Chievoverona,Stefano Sorrentino,53,0,0,1,0,6.83
Udinese,Silvan Widmer,79,4,71,17,0,6.83
Empoli,Omar El Kaddouri,81,1,28,25,3,6.83
Bologna,Ibrahima Mbaye,80,1,40,3,0,6.83
Milan,Ignazio Abate,80,2,59,11,0,6.83
Sampdoria,Pedro Pereira,72,0,29,11,0,6.83
Chievoverona,Massimo Gobbi,78,2,46,10,1,6.83
Bologna,Angelo Da Costa,62,0,0,0,0,6.83
Torino,Josef Martínez,81,0,5,4,1,6.83
Atalanta,Franck Kessié,84,3,37,42,6,6.83
Bologna,Bruno Petković,67,0,13,17,0,6.83
Sampdoria,Christian Puggioni,57,0,0,1,0,6.82
Genoa,Nikola Ninković,73,1,13,10,2,6.82
Genoa,Danilo Cataldi,86,1,24,3,1,6.82
Cagliari,Han Kwang-song,69,0,3,1,1,6.82
Empoli,Levan Mchedlidze,67,0,7,5,6,6.82
Inter,Gary Medel,90,0,43,6,0,6.82
Genoa,Lucas Orbán,85,0,25,0,0,6.82
Cagliari,Luca Ceppitelli,80,0,37,5,0,6.82
Sampdoria,Bruno Fernandes,75,2,23,23,5,6.81
Milan,Lucas Ocampos,76,1,22,41,3,6.81
Crotone,Claiton,79,1,14,0,0,6.81
Chievoverona,Sergio Pellissier,70,2,7,6,9,6.81
Lazio,Federico Marchetti,65,0,0,0,0,6.81
Palermo,Robin Quaison,75,0,12,27,4,6.81
Sampdoria,Milan Škriniar,91,0,38,19,0,6.81
Torino,Marco Benassi,83,2,38,15,5,6.80
Palermo,Bruno Henrique,84,3,69,17,1,6.80
Bologna,Adam Masina,73,0,61,25,1,6.80
Torino,Carlão,90,0,2,1,0,6.80
Napoli,Leonardo Pavoletti,73,0,5,1,3,6.80
Juventus,Rolando Mandragora,100,0,0,0,0,6.80
Sampdoria,Mirko Eramo,33,0,1,0,0,6.80
Genoa,Luca Rigoni,80,1,59,8,3,6.80
Juventus,Stefano Sturaro,80,1,34,9,0,6.80
Torino,Saša Lukić,88,0,15,12,0,6.79
Cagliari,Marco Sau,80,5,24,28,7,6.79
Sampdoria,Jacopo Sala,82,0,43,6,0,6.79
Fiorentina,Carlos Salcedo,85,1,28,2,0,6.79
Sassuolo,Stefano Sensi,83,0,28,12,1,6.79
Empoli,Manuel Pasqual,78,3,58,12,2,6.79
Napoli,Marko Rog,92,0,12,18,0,6.79
Napoli,Christian Maggio,82,0,13,2,0,6.79
Atalanta,Bryan Cristante,78,2,51,15,3,6.79
Chievoverona,Antonio Floro Flores,72,1,7,6,0,6.78
Lazio,Thomas Strakosha,71,0,0,0,0,6.78
Sampdoria,Karol Linetty,83,4,105,39,1,6.78
Empoli,Miha Zajc,84,1,4,0,1,6.78
Pescara,Alberto Cerri,71,0,6,8,2,6.78
Bologna,Federico Di Francesco,76,3,8,15,4,6.77
Lazio,Patric,85,1,19,6,0,6.77
Palermo,Andrea Rispoli,78,3,37,18,6,6.77
Genoa,Isaac Cofie,80,1,43,2,0,6.77
Pescara,Norbert Gyömbér,87,0,13,10,0,6.77
Empoli,Assane Dioussé,86,0,50,20,0,6.77
Genoa,Giovanni Simeone,66,1,28,16,12,6.77
Juventus,Patrice Evra,89,0,5,2,0,6.77
Genoa,Adel Taarabt,83,3,2,6,0,6.77
Pescara,Hrvoje Miličević,81,0,5,1,0,6.77
Genoa,Mattia Perin,56,0,0,0,0,6.76
Sampdoria,Vasco Regini,75,4,68,19,0,6.76
Udinese,Emil Hallfreðsson,85,4,67,23,0,6.76
Milan,Mattia De Sciglio,86,2,47,6,0,6.76
Genoa,Ezequiel Muñoz,83,0,71,6,0,6.76
Sassuolo,Federico Peluso,73,2,61,18,1,6.76
Palermo,Edoardo Goldaniga,77,1,31,5,2,6.76
Genoa,Edenilson,79,3,14,12,0,6.76
Torino,Cristian Molinaro,77,2,20,7,0,6.76
Sassuolo,Luca Mazzitelli,78,2,34,6,1,6.76
Fiorentina,Riccardo Saponara,80,3,21,38,4,6.76
Pescara,Ledian Memushaj,80,3,51,56,1,6.76
Sampdoria,Dennis Praet,80,1,34,27,1,6.76
Fiorentina,Federico Chiesa,85,2,29,35,3,6.76
Torino,Juan Iturbe,76,3,14,24,1,6.76
Empoli,Guido Marilungo,72,4,15,22,0,6.75
