Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Barcelona,Lionel Messi,81,12,17,185,34,8.48
Eibar,Yoel Rodríguez,33,0,0,0,0,7.90
Real Madrid,Cristiano Ronaldo,82,5,7,31,26,7.90
Real Madrid,Toni Kroos,93,7,55,24,5,7.73
Barcelona,Javier Mascherano,92,0,15,0,0,7.70
Celta Vigo,Iago Aspas,79,5,26,58,22,7.60
Barcelona,Jasper Cillessen,77,0,0,0,0,7.60
Valencia,Dani Parejo,86,7,88,46,7,7.59
Real Madrid,Gareth Bale,82,2,21,31,16,7.52
Barcelona,Luis Suárez,77,12,17,39,25,7.51
Atletico Madrid,Antoine Griezmann,78,9,36,28,19,7.49
Barcelona,Philippe Coutinho,87,5,27,46,8,7.47
Atletico Madrid,Filipe Luís,83,2,83,26,1,7.45
Levante,Ivan Lopez,80,1,1,4,0,7.40
Real Madrid,Casemiro,88,3,109,11,5,7.35
Real Betis,Marc Bartra,86,0,38,22,1,7.34
Real Madrid,Luka Modrić,90,6,33,48,1,7.34
Real Sociedad,Asier Illarramendi,88,5,85,30,7,7.33
Real Madrid,Sergio Ramos,90,1,40,9,4,7.30
Las Palmas,Jonathan Viera,84,3,36,65,4,7.30
Espanyol,Gerard Moreno,70,1,41,63,16,7.26
Girona,Alex Granell,79,7,78,48,1,7.24
Atletico Madrid,Lucas Hernández,83,1,93,30,0,7.23
Real Sociedad,Sergio Canales,85,5,30,46,4,7.22
Real Madrid,Isco,89,7,22,58,7,7.22
Athletic Bilbao,Iker Muniain,85,2,10,22,4,7.21
Real Madrid,Marco Asensio,90,6,26,31,6,7.21
Athletic Bilbao,Aymeric Laporte,84,1,38,4,0,7.21
Barcelona,Jordi Alba,87,8,63,23,2,7.20
Valencia,João Cancelo,63,0,1,2,0,7.20
Atletico Madrid,Axel Werner,25,0,0,0,0,7.20
Deportivo La Coruna,Francis Uzoho,33,0,0,0,0,7.20
Barcelona,Ivan Rakitić,90,5,52,26,1,7.20
Sevilla,Éver Banega,87,3,71,83,3,7.20
Barcelona,Sergio Busquets,91,4,88,18,1,7.19
Eibar,Pedro León,66,3,9,18,0,7.19
Real Betis,Dani Giménez,64,0,0,1,0,7.18
Barcelona,Gerard Piqué,89,0,31,13,2,7.17
Villarreal,Rodrigo,90,3,104,26,1,7.17
Real Madrid,Daniel Carvajal,87,2,59,32,0,7.16
Girona,Borja Garcia,86,5,39,40,2,7.16
Real Betis,Joaquín,86,7,22,64,4,7.15
Barcelona,Samuel Umtiti,91,0,50,8,1,7.15
Barcelona,Yerry Mina,93,1,10,1,0,7.14
Atletico Madrid,Saúl Ñíguez,82,3,132,59,2,7.14
Valencia,Geoffrey Kondogbia,87,4,88,55,4,7.14
Atletico Madrid,Koke,85,4,75,20,4,7.14
Real Madrid,Marcelo,85,6,53,33,2,7.14
Real Sociedad,Willian José,75,4,10,18,15,7.13
Atletico Madrid,Thomas Partey,83,0,95,45,3,7.13
Eibar,José Ángel,66,8,61,27,0,7.13
Valencia,Rodrigo,76,4,23,44,16,7.13
Real Betis,Fabián Ruiz,86,6,83,69,3,7.13
Deportivo La Coruna,Lucas Pérez,75,6,17,32,8,7.13
Barcelona,Sergi Roberto,91,7,63,54,1,7.12
Villarreal,Mario Gaspar,79,3,109,22,2,7.11
Atletico Madrid,Diego Godín,86,0,50,6,0,7.10
Villarreal,Manu Trigueros,88,4,61,32,3,7.09
Valencia,Jeison Murillo,89,0,31,3,0,7.09
Valencia,José Luis Gayà,82,3,77,38,0,7.09
Deportivo Alaves,Munir El Haddadi,71,6,25,28,10,7.08
Atletico Madrid,Jan Oblak,50,0,0,3,0,7.08
Atletico Madrid,Šime Vrsaljko,75,4,48,11,0,7.08
Valencia,Jaume Doménech,68,0,0,0,0,7.08
Villarreal,Carlos Bacca,74,6,10,35,15,7.08
Athletic Bilbao,Unai Núñez,82,0,74,17,1,7.06
Eibar,Iván Ramis,83,0,20,4,3,7.06
Barcelona,Andrés Iniesta,88,2,28,63,1,7.06
Real Betis,Andrés Guardado,87,8,41,22,2,7.06
Leganes,Diego Rico,71,2,68,20,2,7.06
Atletico Madrid,José Giménez,79,1,38,6,1,7.06
Real Sociedad,Aritz Elustondo,86,2,31,3,3,7.05
Celta Vigo,Daniel Wass,80,9,30,11,4,7.05
Girona,Christian Stuani,67,0,22,15,21,7.05
Valencia,Gonçalo Guedes,79,9,38,81,5,7.04
Real Sociedad,Héctor Moreno,87,0,7,0,1,7.04
Barcelona,Marc-André ter Stegen,80,0,1,1,0,7.03
Real Betis,Junior Firpo,84,2,26,8,2,7.03
Levante,José Campaña,84,4,57,36,1,7.03
Real Madrid,Karim Benzema,83,10,14,33,5,7.03
Leganes,Rubén Pérez,76,0,99,27,0,7.02
Valencia,Gabriel Paulista,87,0,47,5,0,7.02
Getafe,Djené,71,0,87,30,1,7.02
Celta Vigo,Pione Sisto,84,9,18,75,5,7.01
Athletic Bilbao,Raúl García,58,1,81,11,10,7.01
Malaga,Roberto Rosales,75,0,104,18,1,7.01
Celta Vigo,Maximiliano Gómez,72,4,7,14,17,7.01
Real Sociedad,Xabi Prieto,86,5,18,20,3,7.01
Villarreal,Cédric Bakambu,74,0,10,10,9,7.01
Real Sociedad,Mikel Oyarzabal,78,5,33,40,12,7.01
Deportivo Alaves,Ermedin Demirović,55,1,1,0,1,7.00
Sevilla,Nicolás Pareja,86,0,11,0,0,7.00
Sevilla,Borja Lasso,74,0,4,1,0,7.00
Las Palmas,Aythami Artiles,85,0,2,0,0,7.00
Malaga,Juan Cruz,100,0,2,1,0,7.00
Villarreal,Pablo Fornals,78,12,52,27,3,7.00
Eibar,Anaitz Arbilla,80,1,38,20,2,7.00
Deportivo La Coruna,Sidnei,84,1,41,16,1,7.00
Las Palmas,Oghenekaro Etebo,85,1,24,25,0,6.99
Real Sociedad,Diego Llorente,89,0,29,16,3,6.99
Real Madrid,Raphaël Varane,91,1,28,9,0,6.99
Real Betis,Aïssa Mandi,92,0,54,13,1,6.99
Atletico Madrid,Stefan Savić,82,0,30,4,0,6.99
Real Madrid,Achraf Hakimi,86,0,21,22,2,6.99
Valencia,Martín Montoya,79,4,66,19,0,6.99
Real Betis,Zouhair Feddal,81,0,22,3,3,6.99
Athletic Bilbao,Iñigo Martínez,79,1,42,11,1,6.99
Celta Vigo,Hugo Mallo,75,5,84,19,0,6.99
Villarreal,Víctor Ruiz,86,1,33,5,2,6.99
Athletic Bilbao,Beñat Etxebarria,84,2,28,6,0,6.98
Sevilla,Simon Kjær,84,0,35,1,2,6.97
Real Betis,Loren Moron,72,0,14,19,7,6.97
Real Madrid,Nacho Fernández,91,0,55,6,3,6.97
Getafe,Vicente Guaita,39,0,0,0,0,6.97
Real Madrid,Lucas Vázquez,87,7,48,36,4,6.97
Sevilla,Ganso,82,0,15,4,2,6.97
Real Sociedad,Alberto de la Bella,83,1,36,9,0,6.97
Levante,Jefferson Lerma,82,1,51,19,0,6.97
Getafe,Fayçal Fajr,75,4,61,19,1,6.97
Real Madrid,Keylor Navas,76,0,2,0,0,6.97
Real Sociedad,Raúl Navas,86,1,22,6,0,6.97
Leganes,Alexander Szymanowski,76,2,14,7,2,6.96
Girona,Marc Muniesa,79,1,33,5,0,6.96
Deportivo La Coruna,Luisinho,80,1,111,43,1,6.96
Deportivo Alaves,Víctor Laguardia,68,0,20,1,2,6.96
Real Sociedad,Carlos Vela,83,0,12,17,1,6.96
Valencia,Santi Mina,78,2,17,19,12,6.96
Villarreal,Samu Castillejo,82,5,41,47,6,6.96
Espanyol,Naldo,83,0,14,2,0,6.95
Athletic Bilbao,Enric Saborit,76,1,50,3,0,6.95
Sevilla,Steven N'Zonzi,88,2,39,13,1,6.95
Sevilla,Sergio Escudero,81,2,78,26,0,6.95
Athletic Bilbao,Iago Herrerín,57,0,2,0,0,6.95
Sevilla,Carlos Fernández Luna,77,0,1,0,1,6.95
Leganes,Gabriel Pires,67,2,90,49,5,6.95
Malaga,Chori Castro,74,2,37,28,4,6.95
Eibar,Paulo Oliveira,74,0,41,2,0,6.95
Getafe,Ángel Rodríguez,70,2,28,22,13,6.95
Barcelona,Lucas Digne,88,2,22,4,0,6.95
Las Palmas,Leandro Chichizola,66,0,2,5,0,6.94
Espanyol,Sergi Darder,83,2,64,34,1,6.94
Leganes,Dimitrios Siovas,74,1,48,8,1,6.94
Espanyol,David López,81,0,67,7,1,6.94
Real Madrid,Borja Mayoral,85,1,6,7,3,6.94
