Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Bayer 04 Leverkusen,Karim Bellarabi,0,0,5,10,13,7.00
Wolfsburg,Gian-Luca Itter,0,0,2,1,4,7.00
Freiburg,Mark Flekken,0,0,0,0,0,7.00
Borussia Dortmund,Dan-Axel Zagadou,11,2,70,25,13,6.99
1 Fsv Mainz 05,Jean-Philippe Mateta,2,0,22,3,13,6.99
Augsburg,Alfreð Finnbogason,1,0,10,3,7,6.99
Fortuna Dusseldorf,Kaan Ayhan,16,2,115,59,53,6.99
Fc Schalke 04,Naldo,3,0,22,14,10,6.99
1 Fsv Mainz 05,Alexander Hack,15,1,58,41,29,6.98
Hertha Bsc,Valentino Lazaro,12,0,54,44,46,6.98
Bayern Munchen,Arjen Robben,1,0,0,3,3,6.98
Bayer 04 Leverkusen,Sven Bender,14,0,95,52,40,6.97
1899 Hoffenheim,Pavel Kadeřábek,10,1,62,34,30,6.97
Borussia Dortmund,Manuel Akanji,13,1,88,27,29,6.97
Wolfsburg,Marcel Tisserand,4,0,41,20,14,6.97
Borussia Dortmund,Abdou Diallo,15,1,86,26,36,6.97
Freiburg,Nico Schlotterbeck,1,0,10,5,6,6.97
Freiburg,Luca Waldschmidt,3,0,5,13,20,6.96
1 Fsv Mainz 05,Jean-Paul Boëtius,2,0,10,37,51,6.96
Rb Leipzig,Marcel Sabitzer,2,0,29,33,45,6.95
Borussia Mgladbach,Jonas Hofmann,2,0,14,16,37,6.95
Wolfsburg,William,2,2,110,82,83,6.95
Wolfsburg,John Brooks,13,1,132,37,29,6.94
Borussia Dortmund,Achraf Hakimi,4,1,38,29,34,6.94
Bayer 04 Leverkusen,Julian Baumgartlinger,6,0,20,26,52,6.94
Fortuna Dusseldorf,Rouwen Hennings,1,0,20,4,14,6.94
Hertha Bsc,Maximilian Mittelstädt,4,0,53,46,61,6.94
Fc Schalke 04,Nabil Bentaleb,8,0,17,35,32,6.94
Augsburg,Andreas Luthe,0,0,5,0,0,6.94
1 Fsv Mainz 05,Robin Zentner,0,0,10,1,0,6.94
Bayer 04 Leverkusen,Aleksandar Dragović,8,0,62,25,18,6.94
Vfb Stuttgart,Timo Baumgartl,22,0,94,26,33,6.94
Bayer 04 Leverkusen,Lucas Alario,0,0,13,1,15,6.94
Hannover 96,Pirmin Schwegler,5,0,52,41,63,6.94
Eintracht Frankfurt,Kevin Trapp,0,0,31,0,0,6.94
Hertha Bsc,Niklas Stark,26,0,133,37,34,6.93
1899 Hoffenheim,Nico Schulz,4,0,30,24,34,6.93
Fc Schalke 04,Franco di Santo,1,0,3,1,2,6.93
Borussia Dortmund,Julian Weigl,10,0,53,16,32,6.92
1 Fsv Mainz 05,Giulio Donati,3,0,21,16,9,6.92
Borussia Mgladbach,Matthias Ginter,19,1,97,17,24,6.92
1899 Hoffenheim,Reiss Nelson,1,0,2,5,17,6.92
1 Fc Nurnberg,Ewerton,16,1,106,25,24,6.92
Augsburg,Dong-Won Ji,2,0,9,8,10,6.92
1 Fsv Mainz 05,Pierre Kunde,14,0,47,24,48,6.91
1899 Hoffenheim,Ermin Bičakčić,15,1,76,56,32,6.91
Wolfsburg,Jérôme Roussillon,7,0,41,32,42,6.91
Augsburg,Rani Khedira,22,1,92,80,56,6.90
Borussia Mgladbach,Alassane Pléa,2,1,15,3,14,6.90
Bayern Munchen,Corentin Tolisso,1,0,0,0,0,6.90
Wolfsburg,Koen Casteels,0,0,24,0,1,6.90
1 Fc Nurnberg,Matheus Pereira,2,0,7,14,16,6.90
Borussia Mgladbach,Josip Drmić,0,0,0,1,2,6.90
1899 Hoffenheim,Dennis Geiger,0,0,1,3,2,6.90
Fc Schalke 04,Steven Skrzybski,1,0,0,3,9,6.90
1899 Hoffenheim,Justin Hoogma,1,0,1,2,4,6.90
Hannover 96,Uffe Bech,0,0,0,0,0,6.90
Eintracht Frankfurt,Martin Hinteregger,20,0,114,35,82,6.90
Vfb Stuttgart,Marc-Oliver Kempf,21,0,131,46,33,6.90
Vfb Stuttgart,Ozan Kabak,8,0,53,23,33,6.89
Bayern Munchen,Rafinha,3,0,10,19,15,6.89
Fortuna Dusseldorf,Dodi Lukebakio,0,0,18,9,25,6.89
Wolfsburg,Renato Steffen,2,0,12,16,26,6.89
Hertha Bsc,Fabian Lustenberger,18,2,105,39,45,6.89
Hannover 96,Hendrik Weydandt,4,0,43,5,18,6.89
Borussia Mgladbach,Tobias Strobl,14,0,32,29,31,6.89
Fc Schalke 04,Weston McKennie,9,1,43,36,28,6.88
Werder Bremen,Davy Klaassen,9,0,41,47,64,6.88
Augsburg,Kevin Danso,17,0,71,19,25,6.88
1 Fsv Mainz 05,Daniel Brosinski,9,0,49,26,27,6.88
Werder Bremen,Nuri Şahin,3,0,39,36,59,6.88
1 Fsv Mainz 05,Stefan Bell,11,0,120,54,31,6.88
Hannover 96,Niclas Füllkrug,4,0,15,1,3,6.88
1899 Hoffenheim,Stefan Posch,11,0,54,21,45,6.88
1899 Hoffenheim,Joshua Brenet,1,0,18,8,20,6.88
1 Fc Nurnberg,Georg Margreitter,26,0,138,26,39,6.87
Vfb Stuttgart,Benjamin Pavard,19,1,187,48,28,6.87
Augsburg,Marco Richter,1,0,9,13,13,6.87
Eintracht Frankfurt,Ante Rebić,1,0,3,8,22,6.87
Fortuna Dusseldorf,Kenan Karaman,1,0,8,2,13,6.87
Hertha Bsc,Vedad Ibišević,4,0,20,3,12,6.86
Hertha Bsc,Karim Rekik,16,0,86,34,36,6.86
Werder Bremen,Philipp Bargfrede,11,0,45,34,23,6.86
Hannover 96,Felipe,9,0,70,35,23,6.86
Borussia Mgladbach,Patrick Herrmann,3,0,11,6,20,6.86
Freiburg,Jérôme Gondorf,5,0,21,19,33,6.86
Eintracht Frankfurt,David Abraham,12,0,61,24,22,6.86
Augsburg,Jeffrey Gouweleeuw,21,0,67,56,42,6.86
Wolfsburg,Josuha Guilavogui,8,1,55,43,31,6.86
Freiburg,Keven Schlotterbeck,11,0,25,13,22,6.86
Wolfsburg,Daniel Ginczek,2,0,18,4,9,6.85
Rb Leipzig,Dayot Upamecano,5,0,43,33,22,6.85
1899 Hoffenheim,Oliver Baumann,0,3,19,2,0,6.85
Vfb Stuttgart,Mario Gómez,6,0,33,5,19,6.85
Vfb Stuttgart,Nicolás González,2,0,26,11,19,6.85
Werder Bremen,Yuya Osako,3,0,6,7,22,6.85
Werder Bremen,Jiří Pavlenka,0,1,28,3,3,6.85
Werder Bremen,Theodor Gebre Selassie,8,0,88,69,53,6.85
Fortuna Dusseldorf,Marvin Ducksch,0,0,9,4,3,6.85
Freiburg,Pascal Stenzel,3,1,45,30,42,6.85
Freiburg,Manuel Gulde,13,0,88,26,24,6.84
1899 Hoffenheim,Ádám Szalai,1,0,7,4,19,6.84
Hannover 96,Waldemar Anton,33,0,167,69,49,6.84
Eintracht Frankfurt,Lucas Torró,1,0,12,14,14,6.84
1 Fsv Mainz 05,Moussa Niakhaté,24,1,135,44,49,6.84
1 Fsv Mainz 05,Anthony Ujah,2,0,10,1,2,6.84
