Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Amiens,Jean-Christophe Bouet,0,3,0,0,6,7.30
As Monaco,Seydou Sy,1,8,0,1,12,7.27
Caen,Brice Samba,1,8,0,2,15,7.05
As Monaco,Diego Benaglio,1,4,0,2,6,7.03
Paris Saint Germain,Kevin Trapp,1,8,0,1,13,7.03
Amiens,Regis Gurtner,13,67,0,11,132,6.97
Troyes,Erwin Zelazny,5,40,0,3,65,6.97
Olympique Lyonnais,Anthony Lopes,7,58,2,14,106,6.97
Paris Saint Germain,Alphonse Aréola,12,47,1,17,78,6.96
Montpellier,Benjamin Lecomte,8,50,0,14,87,6.91
Dijon,Baptiste Reynet,36,75,3,5,131,6.91
Troyes,Mamadou Samassa,9,34,1,5,73,6.89
Saint Etienne,Jessy Moulin,1,16,0,1,24,6.88
Stade Rennais,Tomáš Koubek,19,57,2,10,95,6.87
Saint Etienne,Stéphane Ruffier,5,68,1,12,109,6.81
Fc Nantes,Ciprian Tătărușanu,7,56,0,12,98,6.81
Olympique De Marseille,Steve Mandanda,7,44,1,11,82,6.80
Olympique De Marseille,Yohann Pelé,5,11,0,3,18,6.79
Guingamp,Karl-Johan Johnsson,14,61,2,11,114,6.78
Ogc Nice,Walter Benítez,2,42,2,7,79,6.77
Lille Osc,Mike Maignan,13,71,2,6,111,6.76
Toulouse,Alban Lafont,32,63,0,12,106,6.74
Metz,Eiji Kawashima,14,68,2,2,112,6.73
Caen,Rémy Vercoutre,7,49,0,11,90,6.72
Bordeaux,Benoît Costil,10,37,4,10,79,6.72
Angers,Ludovic Butelle,12,30,0,4,52,6.72
As Monaco,Danijel Subašić,11,40,0,10,87,6.71
Strasbourg,Landry Bonnefoi,0,6,0,0,11,6.67
Olympique Lyonnais,Mathieu Gorgelin,1,4,0,1,7,6.63
Strasbourg,Alexandre Oukidja,4,28,1,2,42,6.62
Strasbourg,Bingourou Kamara,7,32,0,2,55,6.58
Metz,Thomas Didillon,3,10,0,2,22,6.57
Ogc Nice,Yoan Cardinale,1,17,0,3,26,6.56
Angers,Alexandre Letellier,5,14,0,1,28,6.51
Bordeaux,Jérôme Prior,0,2,0,0,6,6.50
Stade Rennais,Abdoulaye Diallo,2,7,0,0,10,6.47
Angers,Mathieu Michel,0,9,0,1,14,6.40
Lille Osc,Hervé Koffi,3,5,0,0,10,6.30
Metz,Quentin Beunardeau,1,1,0,0,2,6.20
Stade Rennais,Raïs M'Bolhi,0,3,0,0,4,6.10
Fc Nantes,Maxime Dupé,1,1,0,0,2,6.00
