Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Paris Saint Germain,Neymar,37,41,75,4,15,8.15
Paris Saint Germain,Kylian Mbappé,31,106,65,27,33,7.83
Saint Etienne,Jessy Moulin,0,0,1,0,0,7.80
Nimes Olympique,Teji Savanier,11,54,79,0,6,7.62
Lille Osc,Yassine Benzia,0,3,1,0,0,7.60
Paris Saint Germain,Metehan Güçlü,50,2,0,0,1,7.50
Paris Saint Germain,Ángel Di María,16,74,41,7,12,7.47
Olympique Lyonnais,Memphis Depay,13,76,60,15,10,7.42
Strasbourg,Sanjin Prcić,20,10,12,0,2,7.42
Paris Saint Germain,Edinson Cavani,37,49,12,11,18,7.40
Bordeaux,Gaetan Poussin,0,0,0,0,0,7.40
Saint Etienne,Wahbi Khazri,19,70,46,10,13,7.39
Olympique Lyonnais,Nabil Fekir,13,67,48,5,9,7.34
Montpellier,Andy Delort,15,94,55,9,14,7.30
Strasbourg,Eiji Kawashima,0,0,0,0,0,7.30
Troyes,Morgan Poaty,0,1,3,0,0,7.30
Lille Osc,Nicolas Pépé,23,95,101,17,22,7.28
Paris Saint Germain,Adrien Rabiot,33,6,15,0,2,7.28
Montpellier,Florent Mollet,10,62,20,1,6,7.27
Angers,Flavien Tait,7,70,82,6,5,7.26
Olympique De Marseille,Florian Thauvin,22,73,58,8,16,7.26
Lille Osc,Thiago Mendes,0,24,28,1,0,7.24
Olympique Lyonnais,Marcelo,0,22,8,2,0,7.23
Paris Saint Germain,Leandro Paredes,0,11,5,0,0,7.23
Fc Nantes,Valentin Rongier,8,51,37,4,4,7.23
Ogc Nice,Wylan Cyprien,11,36,19,1,4,7.22
Ogc Nice,Walter Benítez,0,0,0,0,0,7.22
Paris Saint Germain,Dani Alves,4,23,16,1,1,7.20
Montpellier,Dimitry Bertaud,0,0,0,0,0,7.20
Paris Saint Germain,Marquinhos,30,10,6,2,3,7.20
Lille Osc,Gabriel,11,9,0,0,1,7.19
Olympique De Marseille,Dimitri Payet,12,33,18,5,4,7.19
Paris Saint Germain,Thiago Silva,0,10,2,0,0,7.18
Fc Nantes,Emiliano Sala,38,32,3,4,12,7.18
Amiens,Erik Pieters,14,7,7,0,1,7.18
Caen,Fayçal Fajr,17,30,29,1,5,7.16
