Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Borussia Dortmund,Henrikh Mkhitaryan,4,0,15,45,54,7.59
Bayern Munchen,Robert Lewandowski,0,1,17,6,12,7.45
Bayern Munchen,Arturo Vidal,6,0,18,38,80,7.42
Borussia Dortmund,İlkay Gündoğan,2,0,16,57,38,7.40
Fc Schalke 04,Johannes Geis,6,0,39,43,60,7.40
Bayer 04 Leverkusen,Lars Bender,1,0,16,37,52,7.39
Bayern Munchen,Thiago Alcántara,3,0,6,41,68,7.39
Borussia Mgladbach,Raffael,3,0,0,24,36,7.39
Bayern Munchen,Thomas Müller,1,0,17,17,25,7.38
Borussia Mgladbach,Granit Xhaka,9,0,45,76,67,7.35
Borussia Dortmund,Mats Hummels,4,2,93,76,61,7.31
Borussia Dortmund,Pierre-Emerick Aubameyang,2,0,4,10,6,7.30
1 Fc Koln,Marcel Risse,4,0,19,63,95,7.30
Ingolstadt,Pascal Groß,4,1,18,62,58,7.30
Vfb Stuttgart,Daniel Ginczek,0,0,5,2,4,7.29
Bayern Munchen,Arjen Robben,0,0,2,6,4,7.28
Fc Schalke 04,Joël Matip,33,0,182,103,56,7.26
Darmstadt 98,Sandro Wagner,6,0,47,13,31,7.26
Bayern Munchen,Xabi Alonso,3,0,21,43,55,7.25
Werder Bremen,Papy Djilobodji,13,1,82,57,15,7.25
Werder Bremen,Zlatko Junuzović,5,0,12,52,51,7.24
Borussia Mgladbach,Ibrahima Traoré,2,0,8,19,45,7.24
Bayern Munchen,Philipp Lahm,4,0,19,41,23,7.23
Wolfsburg,Naldo,16,0,121,73,47,7.23
Bayern Munchen,Douglas Costa,1,0,5,17,19,7.23
Borussia Mgladbach,Mahmoud Dahoud,4,0,14,56,71,7.21
Bayer 04 Leverkusen,Hakan Çalhanoğlu,1,1,16,37,39,7.20
Borussia Dortmund,Roman Weidenfeller,0,0,1,0,0,7.20
Hamburger Sv,Tom Mickel,0,0,0,0,0,7.20
Borussia Mgladbach,Lars Stindl,6,1,17,43,44,7.20
Bayern Munchen,Jérôme Boateng,4,0,42,31,14,7.19
Bayer 04 Leverkusen,Benjamin Henrichs,2,0,15,30,34,7.19
Bayern Munchen,Javi Martínez,4,0,32,23,23,7.19
Borussia Dortmund,Marco Reus,1,0,2,19,25,7.18
Eintracht Frankfurt,Alexander Meier,0,0,28,14,5,7.17
Bayer 04 Leverkusen,Javier Hernández,1,0,5,7,14,7.17
Bayern Munchen,Medhi Benatia,3,0,32,34,17,7.16
1 Fsv Mainz 05,Alexander Hack,4,0,30,21,17,7.16
Wolfsburg,Ricardo Rodríguez,11,1,41,43,37,7.15
Borussia Mgladbach,Tobias Sippel,0,0,0,0,0,7.15
Fc Schalke 04,Leon Goretzka,12,0,42,75,66,7.15
Bayern Munchen,David Alaba,5,1,42,41,24,7.15
1 Fc Koln,Mërgim Mavraj,9,0,73,16,30,7.15
Hertha Bsc,John Brooks,7,1,84,38,23,7.15
Wolfsburg,Vieirinha,7,0,25,65,46,7.14
Bayern Munchen,Kingsley Coman,0,0,4,9,14,7.14
1899 Hoffenheim,Oliver Baumann,0,3,24,2,1,7.12
Borussia Dortmund,Matthias Ginter,4,1,36,36,32,7.12
Augsburg,Daniel Baier,6,0,47,67,47,7.12
