Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Palermo,Josip Posavec,0,0,1,0,0,7.90
Hellas Verona,Federico Viviani,4,0,12,44,57,7.75
Napoli,Gonzalo Higuaín,2,0,13,9,16,7.69
Juventus,Paulo Dybala,2,0,0,12,15,7.58
Juventus,Paul Pogba,6,0,22,47,76,7.55
Napoli,Lorenzo Insigne,0,0,0,20,21,7.52
Roma,Miralem Pjanić,3,0,25,50,47,7.47
Napoli,Marek Hamšík,3,0,19,24,57,7.46
Lazio,Lucas Biglia,9,0,33,68,80,7.42
Juventus,Kingsley Coman,0,0,0,2,0,7.40
Juventus,Claudio Marchisio,3,0,22,65,48,7.39
Empoli,Alberto Pelagotti,0,0,2,0,0,7.38
Juventus,Juan Cuadrado,1,1,9,23,36,7.37
Fiorentina,Josip Iličić,0,1,2,17,19,7.37
Palermo,Franco Vázquez,7,0,14,24,82,7.36
Lazio,Stefan de Vrij,0,0,13,6,8,7.35
Sampdoria,Fernando,9,0,27,95,86,7.35
Roma,Diego Perotti,2,0,12,17,47,7.34
Milan,Giacomo Bonaventura,4,0,31,40,28,7.34
Atalanta,Alejandro Gómez,0,0,10,45,39,7.33
Sassuolo,Francesco Acerbi,21,0,186,139,50,7.31
Hellas Verona,Samir,1,0,15,16,8,7.30
Chievoverona,Andrea Seculin,0,0,1,1,0,7.30
Milan,Christian Abbiati,0,0,2,0,0,7.30
Palermo,Thiago Cionek,4,0,23,19,6,7.26
Juventus,Mario Lemina,2,0,11,16,23,7.26
Juventus,Leonardo Bonucci,13,2,147,82,39,7.26
Empoli,Leandro Paredes,15,0,20,49,84,7.25
Sassuolo,Domenico Berardi,0,0,11,30,43,7.24
Roma,Stephan El Shaarawy,0,0,16,13,19,7.24
Roma,Daniele De Rossi,11,0,60,54,25,7.24
Milan,Riccardo Montolivo,11,0,44,114,59,7.24
Juventus,Alex Sandro,3,0,36,45,40,7.24
Fiorentina,Matías Vecino,3,0,31,56,74,7.22
Fiorentina,Milan Badelj,6,0,36,69,53,7.21
Milan,Luca Antonelli,17,0,74,57,79,7.21
Napoli,Jorginho,6,0,12,78,70,7.20
Frosinone,Francesco Bardi,0,1,2,0,0,7.20
Milan,Ignazio Abate,8,0,78,76,76,7.20
Genoa,Cristian Ansaldi,9,1,55,62,73,7.19
Torino,Bruno Peres,5,0,35,36,53,7.18
Milan,Philippe Mexès,2,0,26,6,9,7.18
Roma,Alessandro Florenzi,8,0,67,66,51,7.18
Fiorentina,Borja Valero,2,0,20,30,51,7.18
