Rank,Team,Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Ajax,34,28,2,4,119,32,+87,86
2,PSV Eindhoven,34,26,5,3,98,26,+72,83
3,Feyenoord,34,20,5,9,75,41,+34,65
4,AZ Alkmaar,34,17,7,10,64,43,+21,58
5,Vitesse,34,14,11,9,70,51,+19,53
6,FC Utrecht,34,15,8,11,60,51,+9,53
7,Heracles,34,15,3,16,61,68,-7,48
8,FC Groningen,34,13,6,15,39,41,-2,45
9,ADO Den Haag,34,12,9,13,58,63,-5,45
10,Willem II,34,13,5,16,58,72,-14,44
11,SC Heerenveen,34,10,11,13,64,73,-9,41
12,VVV-Venlo,34,11,8,15,47,63,-16,41
13,PEC Zwolle,34,11,6,17,44,57,-13,39
14,FC Emmen,34,10,8,16,41,72,-31,38
15,Fortuna Sittard,34,9,7,18,50,80,-30,34
16,Excelsior,34,9,6,19,46,79,-33,33
17,De Graafschap,34,8,5,21,38,75,-37,29
18,NAC Breda,34,5,8,21,29,74,-45,23
